
|                                                                                :pr/k | :nec |                                    :imt/name | :imt/nec |                                                                :obs |
|--------------------------------------------------------------------------------------+------+----------------------------------------------+----------+---------------------------------------------------------------------|
|                                                                           sind-xxxxx |      |                                              |          |                                                 not really a school |
|                                                     automovel-club-de-portugal-00001 |    1 |                  Automóvel Clube de Portugal |        1 |                                                                     |
|                                                                            acp-00002 |    2 |                  Automóvel Clube de Portugal |        2 |                                                                     |
|                                                                      a-popular-00005 |    5 |                                    A Popular |        5 |                                                                     |
|                                                          automoveis-monumental-00006 |    6 |                        Automóveis Monumental |        6 |                                                                     |
|                                                          a-desportiva-boavista-00007 |    7 |                                              |          |                                                                     |
|                                                                        vitoria-00008 |    8 |                                     Victória |        8 |                                                                     |
|                                                                           enal-00009 |    9 |                                              |          |                                                                     |
|                                                      lusitania-de-automobilsmo-00010 |   10 |                   Lusitânea de Automobilismo |       10 |                                                                     |
|                                                                        rodaqui-00011 |   11 |                                              |          |                                license 11 is Montemorense in imt.pt |
|                                                                         bastos-00012 |   12 |                                       Bastos |       12 |                                                                     |
|                                                                        morarte-00013 |   13 |                                      Morarte |       13 |                                                                     |
|                                                                         carsil-00014 |   14 |                                       Carsil |       14 |                                                                     |
|                                                              estrela-torriense-00015 |   15 |                            Estrela Torriense |       15 |                                                                     |
|                                                                        moderna-00016 |   16 |                                      Moderna |       16 |                                                                     |
|                                                              hugo-vieira-porto-00017 |   17 |                                  Hugo Vieira |       17 |                                                                     |
|                                                                     e-p-campos-00019 |   19 |                    Eduardo Pereira de Campos |       19 |                                                                     |
|                                                                       ouriense-00020 |   20 |                                     Ouriense |       20 |                                                                     |
|                                                                  sao-cristovao-00021 |   21 |                                 S. Cristóvão |       21 |                                                                     |
|                                                                    m-m-ouressa-00022 |   22 |                                M. M. Ouressa |       22 |                                                                     |
|                                                                     ribatejana-00023 |   23 |                                   Ribatejana |       23 |                                                                     |
|                                                                          dokas-00024 |   24 |                                        Dokas |       24 |                                                                     |
|                                                                        m-silva-00025 |   25 |                                     M. Silva |       25 |                                                                     |
|                                                                      alkantara-00027 |   27 |                                              |          |                      license 27 is Vencedora Alcanterense in imt.pt |
|                                                                        benfica-00028 |   28 |                                      Benfica |       28 |                                                                     |
|                                                                     auto-aguia-00029 |   29 |                                   Auto Águia |       29 |                                                                     |
|                                                      tecnica-automovel-silvino-00030 |   30 |                    Técnica Automóvel Silvino |       30 |                                                                     |
|                                                                   a-portuguesa-00031 |   31 |                                 A Portuguesa |       31 |                                                                     |
|                                                                           idal-00032 |   32 |                     Instrutora de Automóveis |       32 |                                                                     |
|                                                                      a-imperio-00033 |   33 |                                              |          |                                                                     |
|                                                                       destaque-00034 |   34 |                                     Destaque |       34 |                                                                     |
|                                                                        neuropa-00035 |   35 |                                      Neuropa |       35 |                                                                     |
|                                                                         pincor-00036 |   36 |                                       Pincor |       36 |                                                                     |
|                                                                      campolide-00038 |   38 |                                    Campolide |       38 |                                                                     |
|                                                                      torrejana-00039 |   39 |                                    Torrejana |       39 |                                                                     |
|                                                           automovel-lisbonense-00040 |   40 |                         Automóvel Lisbonense |       40 |                                                                     |
|                                                                      telheiras-00041 |   41 |                                    Telheiras |       41 |                                                                     |
|                                                                     carvalhido-00042 |   42 |                                   Carvalhido |       42 |                                                                     |
|                                                                       saldanha-00044 |   44 |                                     Saldanha |       44 |                                                                     |
|                                                            goncalves-e-delgado-00045 |   45 |                          Gonçalves e Delgado |       45 |                                                                     |
|                                                               moderna-de-tomar-00047 |   47 |                                Moderna-Tomar |       47 |                                                                     |
|                                                                         sintra-00048 |   48 |                          Automóvel de Sintra |       48 |                                                                     |
|                                                                       boavista-00049 |   49 |                             Boavista – Porto |       49 |                                                                     |
|                                                                        invicta-00052 |   52 |                                      Invicta |       52 |                                                                     |
|                                                                       s-mamede-00053 |   53 |                                    S. Mamede |       53 |                                                                     |
|                                                                        radical-00055 |   55 |                                      Radical |       55 |                                                                     |
|                                                                    vila-franca-00056 |   56 |                                  Vila Franca |       56 |                                                                     |
|                                                                         franca-00057 |   57 |                                       França |       57 |                                                                     |
|                                                                      portuense-00058 |   58 |                                    Portuense |       58 |                                                                     |
|                                                                           ecir-00059 |   59 |                         Instrutores Reunidos |       59 |                                                                     |
|                                                                    vimaranense-00060 |   60 |                                  Vimaranense |       60 |                                                                     |
|                                                             central-do-sameiro-00061 |   61 |                           Central do Sameiro |       61 |                                                                     |
|                                                                        ribeiro-00062 |   62 |                                      Ribeiro |       62 |                                                                     |
|                                                                      albertino-00064 |   64 |                                    Albertino |       64 |                                                                     |
|                                                                         agueda-00067 |   67 |                                       Águeda |       67 |                                                                     |
|                                                                      a-capital-00068 |   68 |                                              |          |                                                                     |
|                                                                    santa-clara-00069 |   69 |                                  Santa Clara |       69 |                                                                     |
|                                                                        viriato-00071 |   71 |                                      Viriato |       71 |                                                                     |
|                                                            oliveira-de-azemeis-00073 |   73 |                                              |          |                                                                     |
|                                                                        colombo-00074 |   74 |                                      Colombo |       74 |                                                                     |
|                                                                      olhanense-00077 |   77 |                                    Olhanense |       77 |                                                                     |
|                                                                  portalegrense-00078 |   78 |                                Portalegrense |       78 |                                                                     |
|                                                                        farense-00079 |   79 |                                      Farense |       79 |                                                                     |
|                                                                 antonio-viegas-00080 |   80 |                               António Viegas |       80 |                                                                     |
|                                                                     fundanense-00081 |   81 |                                              |          |                                                                     |
|                                                        automobilistica-de-beja-00082 |   82 |                        Automobilista de Beja |       82 |                                                                     |
|                                                                 g-gomes-guarda-00083 |   83 |                            G. Gomes - Guarda |       83 |                                                                     |
|                                                             centro-de-portugal-00084 |   84 |                           Centro de Portugal |       84 |                                                                     |
|                                                                     cantanhede-00085 |   85 |                                   Cantanhede |       85 |                                                                     |
|                                                                     a-vianense-00086 |   86 |                                     Vianense |       86 |                                                                     |
|                                                                   estarrejense-00087 |   87 |                               A Estarrejense |       87 |                                                                     |
|                                                                        iberica-00088 |   88 |                                              |          |                                                                     |
|                                                                      flaviense-00089 |   89 |                                    Flaviense |       89 |                                                                     |
|                                                                   entre-linhas-00092 |   92 |                                              |          |                    license 92 is 'Automobilismo da Beira' in imt.pt |
|                                                                           tome-00093 |   93 |                                         Tomé |       93 |                                                                     |
|                                                                    setubalense-00094 |   94 |                                              |          |                                                                     |
|                                                                      auto-real-00095 |   95 |                                    Auto Real |       95 |                                                                     |
|                                                           automoveis-do-centro-00096 |   96 |                         Automóveis do Centro |       96 |                                                                     |
|                                                                     bracarense-00097 |   97 |                                   Bracarense |       97 |                                                                     |
|                                                                     ouriquense-00098 |   98 |                                   Ouriquense |       98 |                                                                     |
|                                                                        ribeiro-00099 |   99 |                                      Ribeiro |       99 |                                                                     |
|                                                                        azurara-00100 |  100 |                                      Azurara |      100 |                                                                     |
|                                                                  albicastrense-00101 |  101 |                                Albicastrense |      101 |                                                                     |
|                                                               do-entroncamento-00104 |  104 |                                Entroncamento |      104 |                                                                     |
|                                                                     grao-vasco-00105 |  105 |                                   Grão Vasco |      105 |                                                                     |
|                                                                    grandolense-00106 |  106 |                                  Grandolense |      106 |                                                                     |
|                                                                      abrantina-00107 |  107 |                                    Abrantina |      107 |                                                                     |
